sentence,np,vp,ner_rich
"Nevertheless, the big  difference between the technology developed at OpenAI  and the other private tech companies, is that the created  Intellectual Property is accessible by everyone.
","['big difference technology', 'OpenAI', 'private tech companies', 'Intellectual Property', 'accessible everyone']
","['developed', 'created'] 
",1
"Although several companies and organisations, including  DeepMind and OpenAI, envision the solution to the creation  of intelligence and the so-called Strong AI, developing  machines with self-sustained long-term goals is well  beyond current technology.
","['several companies organisations', 'DeepMind OpenAI', 'envision solution creation intelligence', 'so-called Strong AI', 'machines', 'self-sustained long-term goals', 'current technology']
","['including', 'developing'] 
",1
"Furthermore, there is vigorous  debate on whether or not we are going through an AI  bubble, which encompasses the paradox that productivity  growth in USA, during the last decade, has declined  regardless of an explosion of technological progress and  innovation.
","['vigorous debate', 'AI', 'paradox productivity growth USA', 'last decade', 'regardless explosion', 'technological progress innovation']
","['going', 'encompasses', 'declined'] 
",1
"It is difficult to understand whether this reflects  a statistical shortcoming or that current innovations are not  transformative enough.
","['current innovations']
","['reflects', 'shortcoming'] 
",1
"This decline can be also attributed  to the lack of consistent policy frameworks and security  standards that can enable the application of AI in projects   of significant impact.
","['This decline', 'lack consistent policy frameworks security standards', 'enable application AI projects', 'significant impact']
","['also attributed'] 
",0
"Technology/Platforms AI Applications of significant impact Open-Source                                  Start-up acquisition
","['Technology/Platforms', 'Applications', 'significant impact Open-Source Start-up acquisition']
","['AI'] 
",0
"Search engine, Maps, Ads, Gmail,  Android, Chrome, and YouTube
","['Search engine', 'Maps', 'Ads', 'Gmail', 'Android', 'Chrome', 'YouTube']
","[] 
",0
"Self-driving cars: Technology that allows a  car to navigate in normal traffic without any  human control.
","['Self-driving cars', 'Technology', 'car navigate', 'normal traffic', 'human control']
","['allows'] 
",0
"TensorFlow: Construction of Deep Neural  Networks
","['TensorFlow', 'Construction Deep Neural Networks']
","[] 
",0
"Deep Q-network: Deep Neural  Networks with Reinforcement  Learning at scale.
","['Deep Q-network', 'Deep Neural Networks Reinforcement Learning scale']
","[] 
",0
"AlphaGo: The first computer program to  beat professional players of Go.
","['AlphaGo', 'The first computer program', 'professional players Go']
","['beat'] 
",0
"DQN: Better than human-level control of  Atari games through Deep Reinforcement  Learning.
","['DQN', 'human-level control Atari games Deep Reinforcement Learning']
","[] 
",0
"Wavenet: Raw audio form impersonating any  human voice
","['Wavenet', 'Raw audio form', 'human voice']
","['impersonating'] 
",0
"DeepMind Lab: 3D game-like platform for  agent-based AI research
","['DeepMind Lab', 'game-like platform', 'agent-based AI research']
","[] 
",0
"Sonnet: Constructing Deep Neural  Networks based on TensorFlow
","['Sonnet', 'Constructing Deep Neural Networks', 'TensorFlow']
","['based'] 
",0
"Non-profit organisation
","['Non-profit organisation']
","[] 
",0
"Evolutionary Algorithms
","['Evolutionary Algorithms']
","[] 
",0
"Deep Neural Networks
","['Deep Neural Networks']
","[] 
",0
"Evolutionary Algorithms tuned to work with  Deep Neural Networks
","['Evolutionary Algorithms', 'work Deep Neural Networks']
","['tuned'] 
",0
"Testbeds for AI: Benchmarking tools and  performance measures for AI algorithms.
","['Testbeds AI', 'Benchmarking tools performance measures AI algorithms']
","[] 
",0
"Gym: Toolkit for developing and comparing  reinforcement learning algorithms.
","['Gym', 'Toolkit', 'reinforcement', 'algorithms']
","['developing comparing', 'learning'] 
",1
"Universe: Measure an AI’s general  Intelligence
","['Universe', 'Measure AI ’', 'general Intelligence']
","[] 
",0
"Manufacturer of computer  hardware and software
","['Manufacturer computer hardware software']
","[] 
",0
"Hosting and consulting services
","['consulting services']
","['Hosting'] 
",0
"Cognitive Computing
","[]
","['Computing'] 
",0
"Deep Blue: First computer program to defit  world champion chess player
","['Deep Blue', 'First computer program defit world champion chess player']
","[] 
",0
"Watson: Won top players on ‘Jeopardy!’, a  popular quiz show.
","['Watson', 'Won', 'top players', 'Jeopardy', '’', 'popular quiz show']
","['‘'] 
",0
"Apache SystemML: Distribution of large- scale machine learning computations on  Apache Hadoop and Spark.
","['Apache SystemML', 'Distribution', 'large- scale machine', 'computations Apache Hadoop Spark']
","['learning'] 
",0
"Apache UIMA: Unstructured Information  Management
","['Apache UIMA', 'Information Management']
","['Unstructured'] 
",0
"Social Networking Service Applied Machine Learning: Spot suicidal  users
","['Social Networking Service Applied Machine Learning', 'Spot suicidal users']
","[] 
",0
"Human Computer Interaction: Image  Descriptions for Blind Users
","['Human Computer Interaction', 'Image Descriptions', 'Users']
","[] 
",0
"CommAI-env: A Communication-based   platform for training and evaluating AI  systems.
","['CommAI-env', 'A Communication-based platform training', 'AI systems']
","['evaluating'] 
",0
"fbcunn: Deep learning modules for GPUs
","['fbcunn', 'Deep learning modules GPUs']
","[] 
",0
"Computer hardware and software
","['Computer hardware software']
","[] 
",0
"Consumer electronics
","['Consumer electronics']
","[] 
",0
"Online services
","['Online services']
","[] 
",0
"Siri: AI Virtual Assistant
","['Siri', 'AI Virtual Assistant']
","[] 
",0
"Self-driving car: AI technology that could  drive a car without human interaction.
","['Self-driving car', 'AI technology', 'car', 'human interaction']
","['drive'] 
",0
"Cloud Computing
","['Cloud Computing']
","[] 
",0
"Online retail services
","['Online', 'retail services']
","[] 
",0
"Electronics
","['Electronics']
","[] 
",0
"Alexa: AI virtual assistant
","['Alexa', 'AI', 'virtual assistant']
","[] 
",0
"Amazon AI platform: Cloud software and  hardware AI tools
","['Amazon AI platform', 'Cloud software hardware AI tools']
","[] 
",0
"DSSTNE: Deep Scalable Sparse Tensor  Network Engine
","['DSSTNE', 'Deep Scalable Sparse Tensor Network Engine']
","[] 
",0
"Developing, manufacturing and  licensing computer hardware and  software
","['licensing computer hardware software']
","['Developing', 'manufacturing'] 
",1
"Consumer electronics
","['Consumer electronics']
","[] 
",0
"Microsoft Azure: Cloud services
","['Microsoft Azure', 'Cloud services']
","[] 
",0
"Cortana: AI virtual assistant
","['Cortana', 'AI', 'virtual assistant']
","[] 
",0
"CNTK: Cognitive Toolkit
","['CNTK', 'Cognitive Toolkit']
","[] 
",0
"Microsoft Azure: Cloud computing  platform offered as a service.
","['Microsoft Azure', 'Cloud', 'platform', 'service']
","['computing', 'offered'] 
",1
"Table 2.
","[]
","[] 
",0
"Major companies in AI
","['Major companies']
","['AI'] 
",0
"15 // Artificial Intelligence and Robotics
","['// Artificial Intelligence Robotics']
","[] 
",0
"Technology/Platforms AI Applications of significant impact Open-Source                                  Start-up acquisition
","['Technology/Platforms', 'Applications', 'significant impact Open-Source Start-up acquisition']
","['AI'] 
",0
"Search engine, Maps, Ads, Gmail,  Android, Chrome, and YouTube
","['Search engine', 'Maps', 'Ads', 'Gmail', 'Android', 'Chrome', 'YouTube']
","[] 
",0
"Self-driving cars: Technology that allows a  car to navigate in normal traffic without any  human control.
","['Self-driving cars', 'Technology', 'car navigate', 'normal traffic', 'human control']
","['allows'] 
",0
"TensorFlow: Construction of Deep Neural  Networks
","['TensorFlow', 'Construction Deep Neural Networks']
","[] 
",0
"Deep Q-network: Deep Neural  Networks with Reinforcement  Learning at scale.
","['Deep Q-network', 'Deep Neural Networks Reinforcement Learning scale']
","[] 
",0
"AlphaGo: The first computer program to  beat professional players of Go.
","['AlphaGo', 'The first computer program', 'professional players Go']
","['beat'] 
",0
"DQN: Better than human-level control of  Atari games through Deep Reinforcement  Learning.
","['DQN', 'human-level control Atari games Deep Reinforcement Learning']
","[] 
",0
"Wavenet: Raw audio form impersonating any  human voice
","['Wavenet', 'Raw audio form', 'human voice']
","['impersonating'] 
",0
"DeepMind Lab: 3D game-like platform for  agent-based AI research
","['DeepMind Lab', 'game-like platform', 'agent-based AI research']
","[] 
",0
"Sonnet: Constructing Deep Neural  Networks based on TensorFlow
","['Sonnet', 'Constructing Deep Neural Networks', 'TensorFlow']
","['based'] 
",0
"Non-profit organisation
","['Non-profit organisation']
","[] 
",0
"Evolutionary Algorithms
","['Evolutionary Algorithms']
","[] 
",0
"Deep Neural Networks
","['Deep Neural Networks']
","[] 
",0
"Evolutionary Algorithms tuned to work with  Deep Neural Networks
","['Evolutionary Algorithms', 'work Deep Neural Networks']
","['tuned'] 
",0
"Testbeds for AI: Benchmarking tools and  performance measures for AI algorithms.
","['Testbeds AI', 'Benchmarking tools performance measures AI algorithms']
","[] 
",0
"Gym: Toolkit for developing and comparing  reinforcement learning algorithms.
","['Gym', 'Toolkit', 'reinforcement', 'algorithms']
","['developing comparing', 'learning'] 
",1
"Universe: Measure an AI’s general  Intelligence
","['Universe', 'Measure AI ’', 'general Intelligence']
","[] 
",0
"Manufacturer of computer  hardware and software
","['Manufacturer computer hardware software']
","[] 
",0
"Hosting and consulting services
","['consulting services']
","['Hosting'] 
",0
"Cognitive Computing
","[]
","['Computing'] 
",0
"Deep Blue: First computer program to defit  world champion chess player
","['Deep Blue', 'First computer program defit world champion chess player']
","[] 
",0
"Watson: Won top players on ‘Jeopardy!’, a  popular quiz show.
","['Watson', 'Won', 'top players', 'Jeopardy', '’', 'popular quiz show']
","['‘'] 
",0
"Apache SystemML: Distribution of large- scale machine learning computations on  Apache Hadoop and Spark.
","['Apache SystemML', 'Distribution', 'large- scale machine', 'computations Apache Hadoop Spark']
","['learning'] 
",0
"Apache UIMA: Unstructured Information  Management
","['Apache UIMA', 'Information Management']
","['Unstructured'] 
",0
"Social Networking Service Applied Machine Learning: Spot suicidal  users
","['Social Networking Service Applied Machine Learning', 'Spot suicidal users']
","[] 
",0
"Human Computer Interaction: Image  Descriptions for Blind Users
","['Human Computer Interaction', 'Image Descriptions', 'Users']
","[] 
",0
"CommAI-env: A Communication-based   platform for training and evaluating AI  systems.
","['CommAI-env', 'A Communication-based platform training', 'AI systems']
","['evaluating'] 
",0
"fbcunn: Deep learning modules for GPUs
","['fbcunn', 'Deep learning modules GPUs']
","[] 
",0
"Computer hardware and software
","['Computer hardware software']
","[] 
",0
"Consumer electronics
","['Consumer electronics']
","[] 
",0
"Online services
","['Online services']
","[] 
",0
"Siri: AI Virtual Assistant
","['Siri', 'AI Virtual Assistant']
","[] 
",0
"Self-driving car: AI technology that could  drive a car without human interaction.
","['Self-driving car', 'AI technology', 'car', 'human interaction']
","['drive'] 
",0
"Cloud Computing
","['Cloud Computing']
","[] 
",0
"Online retail services
","['Online', 'retail services']
","[] 
",0
"Electronics
","['Electronics']
","[] 
",0
"Alexa: AI virtual assistant
","['Alexa', 'AI', 'virtual assistant']
","[] 
",0
"Amazon AI platform: Cloud software and  hardware AI tools
","['Amazon AI platform', 'Cloud software hardware AI tools']
","[] 
",0
"DSSTNE: Deep Scalable Sparse Tensor  Network Engine
","['DSSTNE', 'Deep Scalable Sparse Tensor Network Engine']
","[] 
",0
"Developing, manufacturing and  licensing computer hardware and  software
","['licensing computer hardware software']
","['Developing', 'manufacturing'] 
",1
"Consumer electronics
","['Consumer electronics']
","[] 
",0
"Microsoft Azure: Cloud services
","['Microsoft Azure', 'Cloud services']
","[] 
",0
"Cortana: AI virtual assistant
","['Cortana', 'AI', 'virtual assistant']
","[] 
",0
"CNTK: Cognitive Toolkit
","['CNTK', 'Cognitive Toolkit']
","[] 
",0
"Microsoft Azure: Cloud computing  platform offered as a service.
","['Microsoft Azure', 'Cloud', 'platform', 'service']
","['computing', 'offered'] 
",1
"2012
","[]
","[] 
",0
"2012
","[]
","[] 
",0
"2012
","[]
","[] 
",0
"2012
","[]
","[] 
",0
"2012
","[]
","[] 
",0
"2012
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"2017
","[]
","[] 
",0
"Natural language  processing
","['Natural language processing']
","[] 
",0
"Machine vision
","['Machine vision']
","[] 
",0
"Robotics Machine learning
","['Robotics Machine learning']
","[] 
",0
"Others
","['Others']
","[] 
",0
"Artificial Intelligence and Robotics  // 16
","['Artificial Intelligence Robotics']
","['//'] 
",0
"17 // Artificial Intelligence and Robotics
","['// Artificial Intelligence Robotics']
","[] 
",0
"For the first time, the UK government has singled  out robotics and AI in its blueprint for a ‘modern’  industrial strategy.
","['first time', 'UK government', 'robotics AI blueprint ‘', 'modern ’', 'industrial strategy']
","['singled'] 
",0
"It brings some certainty in  this uncertain time, demonstrating the UK’s drive  to kick-start disruptive technologies that could  transform our economy, with a clear vision for  positioning the UK in the international landscape.
","['certainty', 'uncertain time', 'UK ’', 'drive kick-start disruptive technologies', 'economy', 'clear vision', 'UK', 'international landscape']
","['brings', 'demonstrating', 'transform', 'positioning'] 
",1
"Artificial Intelligence and Robotics  // 18
","['Artificial Intelligence Robotics']
","['//'] 
",0
"AI is a diverse field of research and the following subfields  are essential to its development.
","['AI', 'diverse field research', 'subfields', 'essential development']
","['following'] 
",0
"These include neural  networks, fuzzy logic, evolutionary computation, and  probabilistic methods.
","['neural networks', 'fuzzy logic', 'evolutionary computation', 'probabilistic methods']
","['include'] 
",0
"Neural networks build on the area of connectionism with  the main purpose of mimicking the way the nervous system  processes information.
","['Neural networks', 'area connectionism', 'main purpose', 'way', 'nervous system', 'information']
","['build', 'mimicking', 'processes'] 
",1
"Artificial Neural Networks (ANN) and  variants have allowed significant progress of AI to perform  tasks relative to “perception”.
","['Artificial Neural Networks', 'ANN', 'variants', 'significant progress AI perform tasks', 'relative “ perception ”']
","['allowed'] 
",0
"When combined with the  current multicore parallel computing hardware platforms,  many neural layers can be stacked to provide a higher level  of perceptual abstraction in learning its own set of features,  thus removing the need for handcrafted features; a process  known as deep learning [33].
","['current multicore parallel', 'hardware platforms', 'many neural layers', 'level', 'perceptual abstraction', 'set features', 'need', 'features', 'process', 'deep learning', ']']
","['combined', 'computing', 'stacked', 'learning', 'thus removing', 'handcrafted', 'known'] 
",1
"Limitations of using deep  layered ANN include 1) low interpretability of the resultant  learned model, 2) large volumes of training data and  considerable computational power are often required for the  effective application of these neural models.
","['Limitations', 'deep layered ANN', 'low interpretability resultant', 'model', 'large volumes', 'data', 'considerable computational power', 'required effective application', 'neural models']
","['using', 'include', 'learned', 'training'] 
",1
"Deep learning is part of machine learning and is usually  linked to deep neural networks that consist of a multi- level learning of detail or representations of data.
","['Deep', 'part machine', 'deep neural networks', 'multi- level', 'detail representations data']
","['learning', 'learning usually linked', 'consist', 'learning'] 
",1
"Through  these different layers, information passes from low-level  parameters to higher-level parameters.
","['different layers', 'information passes', 'low-level parameters', 'higher-level parameters']
","[] 
",0
"These different  levels correspond to different levels of data abstraction,  leading to learning and recognition.
","['These different levels', 'different levels data abstraction', 'recognition']
","['correspond', 'leading learning'] 
",1
"A number of deep  learning architectures, such as deep neural networks, deep  convolutional neural networks and deep belief networks,  have been applied to fields such as computer vision,  automatic speech recognition, and audio and music signal  recognition and these have been shown to produce cutting- edge results in various tasks.
","['A number', 'deep learning architectures', 'deep neural networks', 'deep convolutional neural networks', 'deep belief networks', 'fields computer vision', 'automatic speech recognition', 'audio music', 'signal recognition', 'cutting- edge results', 'various tasks']
","['applied', 'shown produce'] 
",1
"Fuzzy logic focuses on the manipulation of information  that is often imprecise.
","['Fuzzy logic', 'manipulation information', 'imprecise']
","['focuses'] 
",0
"Most computational intelligence  principles account for the fact that, whilst observations  are always exact, our knowledge of the context, can often  be incomplete or inaccurate as it is in many real-world  situations.
","['computational intelligence principles', 'fact', 'whilst observations', 'context', 'incomplete inaccurate many real-world situations']
","['account', 'always exact', 'knowledge'] 
",1
"Fuzzy logic provides a framework in which to  operate with data assuming a level of imprecision over a   set of observations, as well as structural elements to  enhance the interpretability of a learned model [34].
","['Fuzzy logic', 'framework operate data', 'level imprecision', 'observations', 'structural elements', 'interpretability', 'model', ']']
","['provides', 'assuming', 'set', 'enhance', 'learned'] 
",1
"It does  provide a framework for formalizing AI methods, as well as  an accessible translation of AI models into electronic circuits.
","['framework formalizing AI methods', 'accessible translation AI models', 'electronic circuits']
","['provide'] 
",0
"Nevertheless, fuzzy logic does not provide learning abilities  per se, so it is often combined with other aspects such a  neural networks, evolutionary computing or   statistical learning.
","['fuzzy logic provide', 'abilities', 'se', 'aspects', 'neural networks', 'statistical learning']
","['learning', 'often combined', 'computing'] 
",1
"Evolutionary computing relies on the principle of natural  selection, or natural patterns of collective behaviour [35].
","['relies', 'principle natural selection', 'natural patterns', 'collective behaviour', ']']
","['computing', '['] 
",1
"The two most relevant subfields include genetic algorithms  and swarm intelligence.
","['relevant subfields', 'genetic algorithms', 'swarm intelligence']
","['include'] 
",0
"Its main impact on AI is on multi- objective optimization, in which it can produce very robust  results.
","['main impact AI', 'multi- objective optimization', 'robust results']
","['produce'] 
",0
"The limitations of these models are like neural  networks about interpretability and computing power.
","['The limitations models', 'neural networks interpretability', 'power']
","['computing'] 
",0
"Statistical Learning is aimed at AI employing a more  classically statistical perspective, e.g.-, Bayesian modelling,  adding the notion of prior knowledge to AI.
","['Statistical Learning', 'AI', 'statistical perspective', 'Bayesian modelling', 'notion', 'knowledge AI']
","['aimed', 'employing', 'adding'] 
",1
"These methods  benefit from a wide set of well-proven techniques and  operations inherited from the field of classical statistics, as  well as a framework to create formal methods for AI.
","['These methods', 'well-proven techniques operations', 'field', 'classical statistics', 'create', 'formal methods AI']
","['benefit', 'set', 'inherited', 'well framework'] 
",1
"The  main drawback is that, probabilistic approaches express  their inference as a correspondence to a population [36]   and the probability concept may not be always applicable,  for instance, when vagueness or subjectivity need to be  measured and addressed [37].
","['The main drawback', 'probabilistic approaches', 'express inference correspondence population', '] probability concept', 'instance', 'vagueness subjectivity', 'addressed [', ']']
","['[', 'always applicable', 'need measured'] 
",1
"Ensemble learning and meta-algorithms is an area of AI  that aims to create models that combine several weak base  learners in order to increase accuracy, while reducing its bias  and variance.
","['meta-algorithms area AI', 'create models', 'several weak base learners order increase accuracy', 'bias variance']
","['learning', 'aims', 'combine', 'reducing'] 
",1
"For instance, ensembles can show a higher  flexibility with respect to single model approaches on which  some complex patterns can be modelled.
","['instance', 'flexibility', 'single model approaches', 'complex patterns']
","['ensembles show', 'respect', 'modelled'] 
",1
"Some well-known  meta-algorithms for building ensembles are bagging and  boosting.
","['Some well-known meta-algorithms building ensembles', 'boosting']
","['bagging'] 
",0
"Ensembles can take advantage of significant  computational resources to train many base classifiers  therefore enhancing the ability to augment resolution of the  pattern search - although this does not always assure the  attainment of a higher accuracy.
","['Ensembles', 'advantage', 'significant computational resources', 'many base classifiers', 'ability', 'augment resolution pattern search', 'attainment', 'accuracy']
","['take', 'train', 'therefore enhancing', 'always assure'] 
",1
"Logic-based artificial intelligence is an area of AI commonly  used for task knowledge representation and inference.
","['Logic-based artificial intelligence area AI', 'task knowledge representation inference']
","['commonly used'] 
",0
"It can  represent predicate descriptions, facts and semantics of a  domain by means of formal logic, in structures known as  logic programs.
","['represent predicate descriptions', 'facts', 'domain means', 'formal logic', 'logic programs']
","['semantics', 'structures known'] 
",1
"By means of inductive logic programming  hypotheses can be derived over the known background.
","['means', 'inductive logic programming hypotheses', 'background']
","['derived known'] 
",0
"6.
","[]
","[] 
",0
"SUBFIELDS AND TECHNOLOGIES THAT  UNDERPINNINGS ARTIFICIAL INTELLIGENCE
","['SUBFIELDS AND TECHNOLOGIES THAT UNDERPINNINGS ARTIFICIAL INTELLIGENCE']
","[] 
",0
"1940 1945 1950 1955 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015
","[]
","[] 
",0
"First AI stage: The beginning Second AI stage: Network Design Third AI stage: Hardware Acceleration
","['AI stage', 'Second AI stage', 'Network Design Third AI stage', 'Hardware Acceleration']
","['beginning'] 
",0
"1943: Threshold Logic Unit
","['Threshold Logic Unit']
","[] 
",0
"1958: Perceptron 1974:
","['Perceptron']
","[] 
",0
"Backpropagation
","['Backpropagation']
","[] 
",0
"1985:   Boltzmann Machine
","['Boltzmann Machine']
","[] 
",0
"1987:  Convolutional  neural nets
","['Convolutional neural nets']
","[] 
",0
"1993:  Reinforcement  Learning
","['Reinforcement']
","['Learning'] 
",0
"1997:  Long Short  Term Memory
","['Long Short Term Memory']
","[] 
",0
"2009:  Large scale  learning using GPU
","['Large scale', 'GPU']
","['learning using'] 
",0
"2014:  Real-time  translation
","['Real-time translation']
","[] 
",0
"2017:  DeepStack
","['DeepStack']
","[] 
",0
"1950: Turing test
","['test']
","['Turing'] 
",0
"1969: XOR affair
","['XOR affair']
","[] 
",0
"1986: Autoenconders
","['Autoenconders']
","[] 
",0
"2006:  Deep belief nets
","['Deep belief nets']
","[] 
",0
"2012:  ImageNet  classification
","['classification']
","[] 
",0
"1992:  Belief nets
","['Belief nets']
","[] 
",0
"1989:  Recurrent neural nets
","['Recurrent neural nets']
","[] 
",0
"1995:  Learning to play chess
","['Learning play chess']
","[] 
",0
"2016:  AlphaGo
","['AlphaGo']
","[] 
",0
"Figure 6 Timeline of the main discoveries and seasons in AI: from perceptron to deep learning
","['Figure', 'Timeline', 'main discoveries seasons', 'perceptron deep learning']
","['AI'] 
",0
"19 // Artificial Intelligence and Robotics
","['// Artificial Intelligence Robotics']
","[] 
",0
"The idea of creating an artificial machine is as old as the  invention of the computer.
","['The idea', 'artificial machine', 'old invention computer']
","['creating'] 
",0
"Alan Turing in the early 1950s  proposed the Turing test, designed to assess whether a  machine could be defined as intelligent.
","['Alan Turing', 'Turing test', 'machine', 'intelligent']
","['proposed', 'designed', 'defined'] 
",1
"Two of the main  pioneers in this field are Pitts and McCulloch [38] who, in  1943, developed a technique designed to mimic the way  a neuron works.
","['main pioneers field Pitts McCulloch', ']', 'technique', 'mimic way neuron works']
","['[', 'developed', 'designed'] 
",1
"Inspired by this work, a few years later,  Frank Rosenblatt [39] developed the first real precursor  of the modern neural network, called Perceptron.
","['Inspired work', 'years', 'Frank Rosenblatt', ']', 'first real precursor', 'modern neural network', 'Perceptron']
","['[', 'developed', 'called'] 
",1
"This  algorithm describes an automatic learning procedure that  can discriminate linearly separable data.
","['This algorithm', 'automatic learning procedure', 'separable data']
","['describes', 'discriminate'] 
",1
"Rosenblatt was  confident that the perceptron would lead to an AI system in  the future.
","['Rosenblatt', 'confident perceptron', 'AI system future']
","['lead'] 
",0
"The introduction of perceptron, in 1958, signalled  the beginning of the AI evolution.
","['The introduction perceptron', 'AI evolution']
","['signalled beginning'] 
",0
"For almost 10 years  afterwards, researchers used this approach to automatically  learn how to discriminate data in many applications, until  Papert and Minsky [3], demonstrated a few important  limitations of Perceptron.
","['years afterwards', 'researchers', 'approach', 'learn discriminate data', 'many applications', 'Papert Minsky', ']', 'important limitations Perceptron']
","['used', '[', 'demonstrated'] 
",1
"This slowed down the fervour  of AI progress and more specifically, they proved that the  perceptron was not capable of learning simple functions,  such as the exclusive-or XOR, no matter how long the  network was trained.
","['fervour AI progress', 'perceptron', 'simple functions', 'exclusive-or XOR', 'matter', 'long network']
","['slowed', 'proved', 'learning', 'trained'] 
",1
"Today, we know that the model implied by the perceptron is  linear and the XOR function does not belong to this family,  but at the time this was enough to stop the research behind  neural nets and began the first AI winter.
","['Today', 'model', 'perceptron', 'linear XOR function', 'family', 'time', 'enough stop research', 'neural nets', 'first AI winter']
","['know', 'implied', 'began'] 
",1
"Much later in 1974,  the idea of organizing the perceptron in layers and training  them using the delta rule [40] shaped the creation of more  complex neural nets.
","['idea', 'perceptron layers', 'delta rule', ']', 'creation', 'complex neural nets']
","['organizing', 'training using', '[', 'shaped'] 
",1
"With the introduction of the Multilayer  Neural Nets [41], researchers were confident that adding  multiple hidden layers to the networks would produce deep  architectures that further increase the complexity of the  hypothesis that can be expressed.
","['introduction Multilayer Neural Nets', ']', 'researchers', 'multiple hidden layers networks', 'deep architectures', 'complexity hypothesis']
","['[', 'adding', 'produce', 'increase', 'expressed'] 
",1
"However, the hardware  constraints that were present at that time, limited, for many  years, the number of layers that could be used in practice.
","['hardware constraints', 'present time', 'many years', 'number layers', 'practice']
","['limited', 'used'] 
",1
"To overcome these hardware limitations different network  configurations were proposed.
","['hardware limitations', 'different network configurations']
","['overcome', 'proposed'] 
",1
"For almost another decade,  researchers focused on producing new efficient network  architectures that are suitable for specific contexts.
","['another decade', 'researchers', 'new efficient network architectures', 'suitable specific contexts']
","['focused producing'] 
",0
"Notably,  these developments included the Autoencoder [42] useful in  extracting relevant features from data, the Belief nets used to  model statistical variables, the Recurrent neural nets [43] and  its variant Long Short Term Memory [44] used for processing  sequence of data, and the Convolutional neural nets [45]  used to process images.
","['developments', 'Autoencoder [', ']', 'relevant features data', 'Belief nets', 'statistical variables', 'Recurrent', 'neural nets', ']', 'variant Long Short Term Memory [', ']', 'sequence data', 'Convolutional', 'neural nets', ']', 'process images']
","['included', 'extracting', 'used', '[', 'used processing', '[', 'used'] 
",1
"Despite these new AI solutions, the  aforementioned hardware limitations were a big restriction  during training.
","['new AI solutions', 'hardware limitations', 'big restriction training']
","['aforementioned'] 
",0
"7.
","[]
","[] 
",0
"THE RISE OF DEEP LEARNING: RETHINKING THE  MACHINE LEARNING PIPELINE
","['THE RISE OF DEEP LEARNING', 'RETHINKING', 'THE MACHINE LEARNING PIPELINE']
","[] 
",0
"1940 1945 1950 1955 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015
","[]
","[] 
",0
"First AI stage: The beginning Second AI stage: Network Design Third AI stage: Hardware Acceleration
","['AI stage', 'Second AI stage', 'Network Design Third AI stage', 'Hardware Acceleration']
","['beginning'] 
",0
"1943: Threshold Logic Unit
","['Threshold Logic Unit']
","[] 
",0
"1958: Perceptron 1974:
","['Perceptron']
","[] 
",0
"Backpropagation
","['Backpropagation']
","[] 
",0
"1985:   Boltzmann Machine
","['Boltzmann Machine']
","[] 
",0
"1987:  Convolutional  neural nets
","['Convolutional neural nets']
","[] 
",0
"1993:  Reinforcement  Learning
","['Reinforcement']
","['Learning'] 
",0
"1997:  Long Short  Term Memory
","['Long Short Term Memory']
","[] 
",0
"2009:  Large scale  learning using GPU
","['Large scale', 'GPU']
","['learning using'] 
",0
"2014:  Real-time  translation
","['Real-time translation']
","[] 
",0
"2017:  DeepStack
","['DeepStack']
","[] 
",0
"1950: Turing test
","['test']
","['Turing'] 
",0
"1969: XOR affair
","['XOR affair']
","[] 
",0
"1986: Autoenconders
","['Autoenconders']
","[] 
",0
"2006:  Deep belief nets
","['Deep belief nets']
","[] 
",0
"2012:  ImageNet  classification
","['classification']
","[] 
",0
"1992:  Belief nets
","['Belief nets']
","[] 
",0
"1989:  Recurrent neural nets
","['Recurrent neural nets']
","[] 
",0
"1995:  Learning to play chess
","['Learning play chess']
","[] 
",0
"2016:  AlphaGo
","['AlphaGo']
","[] 
",0
"Artificial Intelligence and Robotics  // 20
","['Artificial Intelligence Robotics']
","['//'] 
",0
"With recent hardware advances, such as the parallelization  using GPU, the cloud computing and the multi-core  processing finally led to the present stage of AI.
","['recent hardware advances', 'parallelization', 'GPU', 'multi-core processing', 'present stage AI']
","['using', 'computing', 'finally led'] 
",1
"In this  stage, deep neural nets have made tremendous progress  in terms of accuracy and they can now recognize complex  images and perform voice translation in real time.
","['stage', 'deep neural nets', 'tremendous progress terms', 'complex images', 'voice translation', 'real time']
","['made', 'accuracy recognize', 'perform'] 
",1
"However,  researchers are still dealing with issues relating to the  overfitting of the networks, since large datasets are often  required and not always available.
","['researchers', 'issues', 'networks', 'large datasets']
","['still dealing', 'relating overfitting', 'often required'] 
",1
"Furthermore, with the  vanishing of the gradient, this leads to a widespread problem  generated during the training of a network with many layers.
","['gradient', 'widespread problem', 'training network', 'many layers']
","['vanishing', 'leads', 'generated'] 
",1
"For this reason, more sophisticated training procedures  have recently been proposed.
","['reason', 'sophisticated training procedures']
","['recently proposed'] 
",0
"For example, in 2006, Hinton  introduced the idea of unsupervised pretraining and Deep  Belief Nets [46].
","['example', 'Hinton', 'idea', 'Deep Belief Nets', ']']
","['introduced', 'pretraining', '['] 
",1
